id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
119,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang migas,nan,2010,Triwulan IV,79906.06,2026-07-09 11:56:13.319
120,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang migas,nan,2010,Tahunan,253324.25,2026-07-09 11:56:13.319
121,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Jasa,nan,2010,Triwulan I,33983.28,2026-07-09 11:56:13.319
122,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Jasa,nan,2010,Triwulan II,35317.73,2026-07-09 11:56:13.319
123,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Jasa,nan,2010,Triwulan III,37471.71,2026-07-09 11:56:13.319
124,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Jasa,nan,2010,Triwulan IV,40850.14,2026-07-09 11:56:13.319
125,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Jasa,nan,2010,Tahunan,147622.86,2026-07-09 11:56:13.319
126,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,,nan,2010,Triwulan I,349673.83,2026-07-09 11:56:13.319
127,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,,nan,2010,Triwulan II,376099.71,2026-07-09 11:56:13.319
128,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,,nan,2010,Triwulan III,389296.97,2026-07-09 11:56:13.319
129,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,,nan,2010,Triwulan IV,422649.27,2026-07-09 11:56:13.319
130,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,,nan,2010,Tahunan,1537719.77,2026-07-09 11:56:13.319
131,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang,nan,2010,Triwulan I,290341.77,2026-07-09 11:56:13.319
132,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang,nan,2010,Triwulan II,315251.1,2026-07-09 11:56:13.319
133,s20102ptadhkmp2010,Dikurangi Impor Barang dan Jasa,Barang,nan,2010,Triwulan III,325969.98,2026-07-09 11:56:13.319
