tahun,bulan,page_url
2009,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1109.aspx
2009,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/oktober09.aspx
2009,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/september09.aspx
2009,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/agustus09.aspx
2009,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/juli-09.aspx
2009,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/juni%202009.aspx
2009,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0509.aspx
2009,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/april-09.aspx
2009,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0309.aspx
2009,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0209.aspx
2009,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0109.aspx
2008,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1208.aspx
2008,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1108-1.aspx
2008,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0908.aspx
2008,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0808.aspx
2008,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0708.aspx
2008,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0608.aspx
2008,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0508.aspx
2008,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0408.aspx
2008,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0308.aspx
2008,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0208.aspx
2008,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/jan-08.aspx
2007,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1207.aspx
2007,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/nov-07.aspx
2007,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/okt-07.aspx
2007,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0907.aspx
2007,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0807.aspx
2007,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0707.aspx
2007,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/juni-07.aspx
2007,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/mei-07.aspx
2007,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0407.aspx
2007,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0307.aspx
2007,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0207.aspx
2007,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0107.aspx
2006,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1206.aspx
2006,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1106_rev.aspx
