tahun,bulan,status,detail,timestamp
2016,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPT_2016.zip,2026-07-08T12:48:00
2016,AGUSTUS,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2016.aspx,2026-07-08T12:48:01
2016,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUL_2016.zip,2026-07-08T12:48:09
2016,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUN_2016.zip,2026-07-08T12:48:16
2016,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-MEI-2016.zip,2026-07-08T12:48:40
2016,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-APRIL-2016.zip,2026-07-08T12:48:52
2016,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-MARET-2016.zip,2026-07-08T12:49:00
2016,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-FEBRUARI2016-rev.zip,2026-07-08T12:49:05
2016,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-JANUARI2016-rev2.zip,2026-07-08T12:49:12
2015,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI-DESEMBER2015-rev.zip,2026-07-08T12:49:17
2015,NOVEMBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2015.aspx,2026-07-08T12:49:37
2015,OKTOBER,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2015.aspx,2026-07-08T12:49:39
